Reporting Period,Project ID,Project County,Project City,Project ZIP,Gas Utility,Electric Utility,Project Completion Date,Total Project Cost,Pre-Retrofit Home Heating Fuel Type,Year Home Built,Size Of Home,Number Of Units,Job Type,Type Of Dwelling,Measure Type,Estimated Annual kWh Savings,Estimated Annual MMBtu Savings,First Year Modeled Project Energy Savings $ Estimate,Location 1
09/30/2021,438893,Broome,Binghamton,13903,New York State Electric & Gas,New York State Electric & Gas,03-10-2020,4919,Natural Gas,1951,Report SF less than 800,1,Home Performance,Single Family,Building Shell,393,10,134,"Binghamton, NY 13903
(42.063181, -75.901088)"
09/30/2021,430607,Onondaga,Syracuse,13212,,National Grid,03-06-2020,6050,Natural Gas,,"1,905",1,Home Performance,Single Family,Building Shell,637,22,250,"Syracuse, NY 13212
(43.126591, -76.132726)"
04/30/2022,472043,Herkimer,Schuyler,13340,,National Grid,12-08-2020,3810,Oil,,"2,346",1,Home Performance,Single Family,Building Shell,510,12,257,"Schuyler, NY 13340
(43.050515, -75.115762)"
04/30/2022,461969,Oneida,Rome,13440,,National Grid,11-12-2020,12025,Oil,,"1,568",1,Home Performance,Single Family,Building Shell,301,68,1232,"Rome, NY 13440
(43.214717, -75.454665)"
04/30/2022,467018,Oneida,Sherrill,13461,,Municipal,11-12-2020,6841,Oil,,"1,204",1,Home Performance,Single Family,Building Shell,0,23,410,"Sherrill, NY 13461
(43.070602, -75.598553)"
04/30/2022,470714,Rensselaer,Grafton,12082,,National Grid,10-08-2020,6515,Kerosene,1987,924,1,Home Performance,Mobile,Building Shell,0,20,443,"Grafton, NY 12082
(42.768967, -73.450946)"
04/30/2022,469659,Saratoga,Ballston Spa,12020,,National Grid,10-06-2020,11179,Oil,1977,"2,832",1,Home Performance,Single Family,Building Shell,301,67,1332,"Ballston Spa, NY 12020
(43.004269, -73.854217)"
04/30/2022,454519,Wayne,Macedon,14502,,Rochester Gas & Electric,09/22/2020,7718,Wood,,"1,239",1,Home Performance,Mobile,Building Shell,5345,-8,981,"Macedon, NY 14502
(43.096601, -77.336363)"
09/30/2021,420386,Oneida,Ava,13303,,National Grid,11/18/2019,6923,Oil,,"1,064",1,Home Performance,Single Family,Building Shell,443,8,271,"Ava, NY 13303
(43.36058, -75.4636)"
04/30/2022,458836,Cortland,Cortland,13045,,National Grid,09-08-2020,5124,Propane,,845,1,Home Performance,Mobile,Building Shell,0,24,632,"Cortland, NY 13045
(42.588691, -76.185061)"
