id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
54,India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",25-04-2023 02:00:00,CO,3,117,67,NA
55,India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",25-04-2023 02:00:00,OZONE,1,103,33,NA
56,India,Assam,Guwahati,"IITG, Guwahati - PCBA",25-04-2023 02:00:00,PM2.5,NA,NA,NA,NA
57,India,Assam,Guwahati,"IITG, Guwahati - PCBA",25-04-2023 02:00:00,PM10,27,43,32,NA
58,India,Assam,Guwahati,"IITG, Guwahati - PCBA",25-04-2023 02:00:00,NO2,1,8,2,NA
59,India,Assam,Guwahati,"IITG, Guwahati - PCBA",25-04-2023 02:00:00,NH3,5,5,5,NA
60,India,Assam,Guwahati,"IITG, Guwahati - PCBA",25-04-2023 02:00:00,SO2,5,6,6,NA
61,India,Assam,Guwahati,"IITG, Guwahati - PCBA",25-04-2023 02:00:00,CO,8,11,9,NA
62,India,Assam,Guwahati,"IITG, Guwahati - PCBA",25-04-2023 02:00:00,OZONE,7,35,14,NA
63,India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",25-04-2023 02:00:00,PM2.5,25,110,50,NA
64,India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",25-04-2023 02:00:00,PM10,33,146,68,NA
65,India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",25-04-2023 02:00:00,NO2,9,69,26,NA
66,India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",25-04-2023 02:00:00,NH3,1,7,2,NA
67,India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",25-04-2023 02:00:00,SO2,4,16,8,NA
68,India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",25-04-2023 02:00:00,CO,12,56,36,NA
69,India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",25-04-2023 02:00:00,OZONE,1,153,38,NA
70,India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",25-04-2023 02:00:00,PM2.5,NA,NA,NA,NA
71,India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",25-04-2023 02:00:00,PM10,NA,NA,NA,NA
72,India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",25-04-2023 02:00:00,NO2,1,6,1,NA
73,India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",25-04-2023 02:00:00,NH3,2,3,2,NA
74,India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",25-04-2023 02:00:00,SO2,21,50,31,NA
75,India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",25-04-2023 02:00:00,CO,14,90,56,NA
76,India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",25-04-2023 02:00:00,OZONE,14,27,19,NA
77,India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",25-04-2023 02:00:00,PM2.5,22,276,68,NA
78,India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",25-04-2023 02:00:00,PM10,24,372,72,NA
79,India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",25-04-2023 02:00:00,NO2,3,3,3,NA
80,India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",25-04-2023 02:00:00,NH3,1,2,1,NA
81,India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",25-04-2023 02:00:00,SO2,9,19,12,NA
82,India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",25-04-2023 02:00:00,CO,13,98,65,NA
83,India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",25-04-2023 02:00:00,OZONE,17,101,63,NA
84,India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",25-04-2023 02:00:00,PM2.5,7,170,59,NA
85,India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",25-04-2023 02:00:00,PM10,29,142,70,NA
86,India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",25-04-2023 02:00:00,NO2,13,53,23,NA
87,India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",25-04-2023 02:00:00,NH3,1,6,3,NA
88,India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",25-04-2023 02:00:00,SO2,3,110,33,NA
89,India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",25-04-2023 02:00:00,CO,4,120,77,NA
90,India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",25-04-2023 02:00:00,OZONE,31,98,53,NA
91,India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",25-04-2023 02:00:00,PM2.5,5,306,84,NA
92,India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",25-04-2023 02:00:00,PM10,25,336,95,NA
93,India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",25-04-2023 02:00:00,NO2,1,16,8,NA
94,India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",25-04-2023 02:00:00,SO2,1,7,3,NA
