Reporting Period,Project ID,Project County,Project City,Project ZIP,Gas Utility,Electric Utility,Project Completion Date,Total Project Cost,Pre-Retrofit Home Heating Fuel Type,Size Of Home,Number Of Units,Job Type,Type Of Dwelling,Measure Type,Estimated Annual kWh Savings,Estimated Annual MMBtu Savings,First Year Modeled Project Energy Savings $ Estimate
2021-09-30T00:00:00,467774,Suffolk,Amityville,11701,NA,Long Island Power Authority,2021-04-06T00:00:00,5001,Natural Gas,Report SF less than 800,1,Home Performance,Single Family,Building Shell,410,25,552
2021-09-30T00:00:00,414514,Ulster,Ellenville,12428,NA,Central Hudson Gas & Electric,2019-07-26T00:00:00,8442,Oil,864,1,Home Performance,Single Family,Building Shell,510,49,1003
2021-09-30T00:00:00,426415,Saratoga,Greenfield Center,12833,NA,National Grid,2020-11-10T00:00:00,10996,Propane,"1,272",1,Home Performance,Single Family,Building Shell,910,31,895
2021-09-30T00:00:00,404530,Orleans,Albion,14411,NA,National Grid,2019-07-19T00:00:00,2015,Oil,"1,636",1,Home Performance,Single Family,Building Shell,0,6,175
2021-09-30T00:00:00,406313,Queens,Queens,11413,National Grid,Consolidated Edison,2020-01-21T00:00:00,2857,Natural Gas,"1,840",1,Home Performance,Single Family,Building Shell,510,10,223
2021-09-30T00:00:00,498533,Monroe,Rochester,14608,Rochester Gas & Electric,Rochester Gas & Electric,2021-04-13T00:00:00,541,Natural Gas,"1,300",1,Electric Reduction,Single Family,Building Shell,510,0,54
2021-09-30T00:00:00,498893,Nassau,Roosevelt,11575,NA,Long Island Power Authority,2021-05-04T00:00:00,725,Oil,"2,431",1,Home Performance,Single Family,Building Shell,721,1,151
2021-09-30T00:00:00,506473,Rensselaer,East Greenbush,12061,NA,National Grid,2021-07-20T00:00:00,18307,Oil,"1,530",1,Home Performance,Single Family,Building Shell,-8551,111,914
2021-09-30T00:00:00,406746,Oneida,Holland Patent,13354,NA,National Grid,2019-07-26T00:00:00,8064,Oil,"1,378",1,Home Performance,Single Family,Building Shell,426,60,1101
2021-09-30T00:00:00,427880,Onondaga,Syracuse,13219,National Grid,Municipal,2021-03-02T00:00:00,6719,Natural Gas,"1,824",1,Home Performance,Single Family,Building Shell,729,23,261
2021-09-30T00:00:00,450690,Erie,Buffalo,14211,National Fuel Gas Distribution,National Grid,2020-03-12T00:00:00,9005,Natural Gas,"1,151",1,Home Performance,Single Family,Building Shell,301,97,742
2021-09-30T00:00:00,467629,Franklin,Paul Smiths,12970,NA,National Grid,2021-08-10T00:00:00,10646,Oil,"2,617",1,Home Performance,Single Family,Building Shell,0,39,762
